Quarter,Domain,Metric,Region,Provider Code,Provider Name,Numerator,Denominator,% Value,Rank,Rank_Region,Region_Size,Months Covered,Covered Months,Missing Months,Is Complete
Q4 (2024/25),A&E,4 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,16300,16574,0.983,1,1,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,13847,15040,0.921,2,1,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,REP,Liverpool Women's NHS Foundation Trust,4264,4773,0.893,3,1,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RQ3,Birmingham Women's And Children's NHS Foundation Trust,18353.479,20735.479,0.885,4,1,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBS,Alder Hey Children's NHS Foundation Trust,28818.94558,32839.68894,0.878,5,2,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,55062,63156,0.872,6,2,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RVW,North Tees And Hartlepool NHS Foundation Trust,39615,47062,0.842,7,3,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RWF,Maidstone And Tunbridge Wells NHS Trust,54599.81065,65341.19961,0.836,8,1,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTP,Surrey And Sussex Healthcare NHS Trust,51664.07834,62369.31439,0.828,9,2,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,31779,38569,0.824,10,4,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RL4,The Royal Wolverhampton NHS Trust,51640,63185,0.817,11,2,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RPA,Medway NHS Foundation Trust,50772.45504,62228.98234,0.816,12,3,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RVV,East Kent Hospitals University NHS Foundation Trust,85507.54496,105219.0177,0.813,13,4,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",85877,106003,0.81,14,2,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,30335,37454,0.81,14,2,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,48278,59802,0.807,16,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RWG,West Hertfordshire Teaching Hospitals NHS Trust,38659,47900,0.807,16,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RYJ,Imperial College Healthcare NHS Trust,70763.32,88116.4,0.803,18,4,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RQX,Homerton Healthcare NHS Foundation Trust,25866,32248,0.802,19,5,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,44125,55466,0.796,20,3,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RBD,Dorset County Hospital NHS Foundation Trust,19396,24417,0.794,21,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,71916.99312,90955.90469,0.791,22,3,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNA,The Dudley Group NHS Foundation Trust,33333,42163,0.791,22,4,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,45592,57880,0.788,24,4,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RXP,County Durham And Darlington NHS Foundation Trust,56248,71564,0.786,25,5,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJZ,King's College Hospital NHS Foundation Trust,82016.88,104318.08,0.786,25,6,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RRV,University College London Hospitals NHS Foundation Trust,38815.82,49487.4,0.784,27,7,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,41609.92,53269.43,0.781,28,5,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHU,Portsmouth Hospitals University National Health Service Trust,57533,73627,0.781,28,5,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RXK,Sandwell And West Birmingham Hospitals NHS Trust,55621,71353,0.78,30,6,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RXQ,Buckinghamshire Healthcare NHS Trust,35276,45282,0.779,31,6,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ6,Croydon Health Services NHS Trust,43302.5,55969.5,0.774,32,8,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ1,Guy's And St Thomas' NHS Foundation Trust,39427,50937,0.774,32,8,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,REF,Royal Cornwall Hospitals NHS Trust,40004,51696,0.774,32,2,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXR,East Lancashire Hospitals NHS Trust,52330,68074,0.769,35,5,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RDE,East Suffolk And North Essex NHS Foundation Trust,63290,82460,0.768,36,3,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,45319,59168,0.766,37,6,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,34043,44481,0.765,38,7,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHW,Royal Berkshire NHS Foundation Trust,45631.364,59812.88,0.763,39,8,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,59011,77446,0.762,40,10,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RN7,Dartford And Gravesham NHS Trust,34479,45274,0.762,40,9,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RTE,Gloucestershire Hospitals NHS Foundation Trust,47423,62274,0.762,40,3,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RWY,Calderdale And Huddersfield NHS Foundation Trust,39526,51954,0.761,43,7,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAX,Kingston and Richmond NHS Foundation Trust,34523,45364,0.761,43,11,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWE,University Hospitals Of Leicester NHS Trust,89243,117219,0.761,43,7,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,R1K,London North West University Healthcare NHS Trust,65832,86867,0.758,46,12,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,40471.5,53433.5,0.757,47,8,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RKE,Whittington Health NHS Trust,26067.86,34437.2,0.757,47,13,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RR8,Leeds Teaching Hospitals NHS Trust,66916,88540,0.756,49,9,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RA2,Royal Surrey County Hospital NHS Foundation Trust,19822,26212,0.756,49,10,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCD,Harrogate And District NHS Foundation Trust,13571,18016,0.753,51,10,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWD,United Lincolnshire Teaching Hospitals NHS Trust,62477,83032,0.752,52,8,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,63854,85017,0.751,53,4,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHM,University Hospital Southampton NHS Foundation Trust,46259,62245,0.743,54,11,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,REM,Liverpool University Hospitals NHS Foundation Trust,66060.06131,89076.90637,0.742,55,6,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RVR,Epsom And St Helier University Hospitals NHS Trust,28407,38334,0.741,56,14,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,76619.08,103461.57,0.741,56,9,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RWH,East And North Hertfordshire NHS Trust,40759,55158,0.739,58,5,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAL,Royal Free London NHS Foundation Trust,90455,122518,0.738,59,15,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RBK,Walsall Healthcare NHS Trust,29226,39603,0.738,59,10,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGR,West Suffolk NHS Foundation Trust,18179,24621,0.738,59,6,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,28367,38495,0.737,62,7,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,51263.9,69678.8,0.736,63,4,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,36127,49061,0.736,63,8,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RDU,Frimley Health NHS Foundation Trust,77376,105306,0.735,65,12,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RD8,Milton Keynes University Hospital NHS Foundation Trust,30134,41010,0.735,65,7,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RN3,Great Western Hospitals NHS Foundation Trust,24145,32907.4,0.734,67,5,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTH,Oxford University Hospitals NHS Foundation Trust,45219.636,61680.12,0.733,68,13,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RXC,East Sussex Healthcare NHS Trust,32537,44459,0.732,69,14,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RJL,Northern Lincolnshire And Goole NHS Foundation Trust,38031,51930,0.732,69,11,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RR7,Gateshead Health NHS Foundation Trust,19991,27333,0.731,71,12,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RH5,Somerset NHS Foundation Trust,46140,63319,0.729,72,6,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAS,The Hillingdon Hospitals NHS Foundation Trust,27122,37288,0.727,73,16,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,37335,51576,0.724,74,13,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,39354,54717,0.719,75,14,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RRK,University Hospitals Birmingham NHS Foundation Trust,101881.521,142153.521,0.717,76,11,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,R0D,University Hospitals Dorset NHS Foundation Trust,37180,52432,0.709,77,7,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,R1H,Barts Health NHS Trust,91300,129377,0.706,78,17,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RNZ,Salisbury NHS Foundation Trust,13941,19758,0.706,78,8,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RKB,University Hospitals Coventry And Warwickshire NHS Trust,40955,58006,0.706,78,12,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RYR,University Hospitals Sussex NHS Foundation Trust,74300.11101,105532.486,0.704,81,15,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGT,Cambridge University Hospitals NHS Foundation Trust,34592,49213,0.703,82,8,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,R0A,Manchester University NHS Foundation Trust,90402,128576,0.703,82,9,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RH8,Royal Devon University Healthcare NHS Foundation Trust,39630,56549,0.701,84,9,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RK5,Sherwood Forest Hospitals NHS Foundation Trust,34346,49201,0.698,85,13,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,R1F,Isle Of Wight NHS Trust,12393,17893,0.693,86,16,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,40763,58973,0.691,87,15,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RLT,George Eliot Hospital NHS Trust,17165,24905,0.689,88,14,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RXF,Mid Yorkshire Teaching NHS Trust,44615,65064,0.686,89,16,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,30751,44874,0.685,90,10,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RA9,Torbay And South Devon NHS Foundation Trust,19548,28527,0.685,90,10,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RVJ,North Bristol NHS Trust,22593.1,33042.2,0.684,92,11,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",24439,35741,0.684,92,11,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RM3,Northern Care Alliance NHS Foundation Trust,69845,102363,0.682,94,12,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RWA,Hull University Teaching Hospitals NHS Trust,40349,59273,0.681,95,17,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCB,York And Scarborough Teaching Hospitals NHS Foundation Trust,38380.5,56390.5,0.681,95,17,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RAJ,Mid and South Essex NHS Foundation Trust,70831,104167,0.68,97,9,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,23858,35297,0.676,98,13,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RWW,Warrington And Halton Teaching  Hospitals NHS Foundation Trust,22864,33885.5,0.675,99,14,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RMC,Bolton NHS Foundation Trust,23276,34551,0.674,100,15,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ2,Lewisham And Greenwich NHS Trust,52933.62,78705.42,0.673,101,18,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RJC,South Warwickshire University NHS Foundation Trust,16233,24233,0.67,102,15,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGN,North West Anglia NHS Foundation Trust,38267,57324,0.668,103,10,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNS,Northampton General Hospital NHS Trust,25565,38361,0.666,104,16,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RWJ,Stockport NHS Foundation Trust,18923,28499,0.664,105,16,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RQW,The Princess Alexandra Hospital NHS Trust,23209,35041,0.662,106,11,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RK9,University Hospitals Plymouth NHS Trust,27614,41782,0.661,107,12,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RD1,Royal United Hospitals Bath NHS Foundation Trust,19545,29598.6,0.66,108,13,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RFF,Barnsley Hospital NHS Foundation Trust,17001,25871,0.657,109,19,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RJE,University Hospitals Of North Midlands NHS Trust,45903,70369,0.652,110,17,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RN5,Hampshire Hospitals NHS Foundation Trust,26518,41017,0.647,111,17,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RLQ,Wye Valley NHS Trust,13532,21037,0.643,112,18,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWP,Worcestershire Acute Hospitals NHS Trust,34191,53712,0.637,113,19,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGP,James Paget University Hospitals NHS Foundation Trust,15648,24749,0.632,114,12,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RNN,North Cumbria Integrated Care NHS Foundation Trust,20045,31994,0.627,115,20,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RFR,The Rotherham NHS Foundation Trust,16501,26323,0.627,115,20,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RX1,Nottingham University Hospitals NHS Trust,44194,70996,0.622,117,20,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCF,Airedale NHS Foundation Trust,11514,18694,0.616,118,22,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RXW,The Shrewsbury And Telford Hospital NHS Trust,28366,46123,0.615,119,21,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RJR,Countess Of Chester Hospital NHS Foundation Trust,12721,21154,0.601,120,17,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",13532,22599,0.599,121,13,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBT,Mid Cheshire Hospitals NHS Foundation Trust,16848,28768,0.586,122,18,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RJN,East Cheshire NHS Trust,6468,12710,0.509,123,19,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RXW,The Shrewsbury and Telford Hospital NHS Trust,0,0,,1,1,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North West,REP,Liverpool Women's NHS Foundation Trust,0,4350,0,2,1,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,16260,0,2,1,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,0,15040,0,2,1,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North West,RBS,Alder Hey Children's NHS Foundation Trust,35,17785,0.002,5,2,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,35,14645,0.002,5,2,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,335,28415,0.012,7,2,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RJ1,Guy's and St Thomas' NHS Foundation Trust,445,31280,0.014,8,2,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,940,43445,0.022,9,3,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RHM,University Hospital Southampton NHS Foundation Trust,990,38520,0.026,10,1,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RFF,Barnsley Hospital NHS Foundation Trust,720,25890,0.028,11,4,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,430,14370,0.03,12,5,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RRV,University College London Hospitals NHS Foundation Trust,1445,39160,0.037,13,3,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,1895,45990,0.041,14,6,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RR7,Gateshead Health NHS Foundation Trust,730,17030,0.043,15,7,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RWY,Calderdale and Huddersfield NHS Foundation Trust,1995,45015,0.044,16,8,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RA2,Royal Surrey County Hospital NHS Foundation Trust,1010,21970,0.046,17,2,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RCD,Harrogate and District NHS Foundation Trust,710,14310,0.05,18,9,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RTH,Oxford University Hospitals NHS Foundation Trust,2040,40750,0.05,18,3,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RHW,Royal Berkshire NHS Foundation Trust,2245,43200,0.052,20,4,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,1985,38190,0.052,20,10,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RQX,Homerton University Hospital NHS Foundation Trust,1815,32080,0.057,22,4,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RK5,Sherwood Forest Hospitals NHS Foundation Trust,1860,31900,0.058,23,3,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RJC,South Warwickshire NHS Foundation Trust,1335,23165,0.058,23,3,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,RH8,Royal Devon University Healthcare NHS Foundation Trust,2330,38640,0.06,25,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,1860,30485,0.061,26,11,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,RH5,Somerset NHS Foundation Trust,2220,35505,0.063,27,2,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RFR,The Rotherham NHS Foundation Trust,1650,26315,0.063,27,12,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,1570,24420,0.064,29,13,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,East,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,2315,35575,0.065,30,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,2360,35745,0.066,31,5,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,1360,20500,0.066,31,5,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,3570,51690,0.069,33,3,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,3305,47210,0.07,34,2,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RXQ,Buckinghamshire Healthcare NHS Trust,2260,32285,0.07,34,5,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North West,R0A,Manchester University NHS Foundation Trust,6675,94810,0.07,34,3,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,1480,21185,0.07,34,14,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,R0D,University Hospitals Dorset NHS Foundation Trust,3145,42375,0.074,38,4,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,East,RD8,Milton Keynes University Hospital NHS Foundation Trust,1935,25675,0.075,39,3,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RYJ,Imperial College Healthcare NHS Trust,3510,46200,0.076,40,6,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,2430,31810,0.076,40,6,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RWF,Maidstone and Tunbridge Wells NHS Trust,3770,49030,0.077,42,6,17,3,"Jan, Feb, Mar",,Yes
